1, A Journey to the Center of the Earth, Arthur Conan Doyle, Romance, 2000
78, The Complete Sherlock Holmes, Erich Maria Remarque, Biography, 1954
79, The Adventures of Huckleberry Finn, Robert Louis Stevenson, Poetry, 2000
80, Pinocchio, Harriet Beecher Stowe, Mystery, 2012
81, Frankenstein, Albert Camus, Drama, 1974
82, The Hunchback of Notre Dame, Emily Brontë, Horror, 2013
83, The Adventures of Huckleberry Finn, Nathaniel Hawthorne, Romance, 2000
84, The Adventures of Tom Sawyer, William Golding, Adventure, 1966
85, Dracula, Jack London, Biography, 1908
86, The Lion, the Witch, and the Wardrobe, Johanna Spyri, Thriller, 1996
87, Pinocchio, Joseph Conrad, Biography, 1951
88, The Return of the King, Charles Dickens, Biography, 1957
89, Heidi, L. Frank Baum, Science Fiction, 1985
90, David Copperfield, Erich Maria Remarque, Fiction, 1984
91, Madame Bovary, Franz Kafka, Poetry, 2011
92, Great Expectations, James Fenimore Cooper, Children's, 1964
93, Moby Dick, Kenneth Grahame, Biography, 2007
94, Wuthering Heights, Fyodor Dostoyevsky, Science Fiction, 1920
95, Tess of the d'Urbervilles, Franz Kafka, Historical Fiction, 1920
96, Anne of Green Gables, Miguel de Cervantes, Adventure, 1948
97, The Wind in the Willows, Robert Louis Stevenson, Thriller, 1989
98, Treasure Island, William Golding, Romance, 1926
99, The Last of the Mohicans, Joseph Conrad, Science Fiction, 1941
100, The Return of the King, L.M. Montgomery, Horror, 1977
101, The Wizard of Oz, George Orwell, Fiction, 1909
102, David Copperfield, Anna Sewell, Horror, 1925
103, All Quiet on the Western Front, Kenneth Grahame, Mystery, 2018
104, Wuthering Heights, C.S. Lewis, Drama, 1954
105, A Journey to the Center of the Earth, Arthur Conan Doyle, Adventure, 1959
106, Dracula, James Joyce, Classics, 1999
107, Black Beauty, Harriet Beecher Stowe, Mystery, 1958
108, The Stranger, Jules Verne, Science Fiction, 1978
109, War and Peace, J.M. Barrie, Non-Fiction, 1936
110, The House of the Seven Gables, J.R.R. Tolkien, Non-Fiction, 2016
111, Ulysses, J.R.R. Tolkien, Drama, 1901
112, The Red Badge of Courage, Stephen Crane, Horror, 1962
113, The Catcher in the Rye, William Makepeace Thackeray, Fantasy, 1931
114, The Return of the King, Oscar Wilde, Fantasy, 1911
115, Tess of the d'Urbervilles, L.M. Montgomery, Biography, 1961
116, Ivanhoe, John Bunyan, Adventure, 1966
117, The Little Prince, J.D. Salinger, Romance, 1999
118, The Wizard of Oz, Albert Camus, Classics, 2013
119, Black Beauty, Fyodor Dostoyevsky, Biography, 2020
120, Animal Farm, Miguel de Cervantes, Mystery, 1902
121, The Little Prince, Anna Sewell, Thriller, 2003
122, Brave New World, Aldous Huxley, Drama, 2024
123, Gone with the Wind, Jack London, Drama, 1923
124, The Red Badge of Courage, Jonathan Swift, Fantasy, 1920
125, Lord of the Flies, Stendhal, Drama, 1926
126, The Hobbit, Harper Lee, Romance, 1909
127, Ivanhoe, Aldous Huxley, Romance, 1968
128, Lord of the Flies, Jack London, Thriller, 1956
129, A Journey to the Center of the Earth, Leo Tolstoy, Mystery, 1964
130, The Old Man and the Sea, Leo Tolstoy, Historical Fiction, 2002
131, Kidnapped, Ernest Hemingway, Thriller, 1950
132, All Quiet on the Western Front, Ernest Hemingway, Historical Fiction, 1992
133, The Hobbit, Harper Lee, Poetry, 2019
134, The Prince and the Pauper, Jane Austen, Mystery, 1901
135, Wuthering Heights, Anna Sewell, Children's, 1980
136, Treasure Island, William Golding, Fiction, 1961
137, Anne of Green Gables, Robert Louis Stevenson, Poetry, 1984
138, A Christmas Carol, J.K. Rowling, Mystery, 1991
139, The Adventures of Huckleberry Finn, George Orwell, Science Fiction, 1905
140, All Quiet on the Western Front, Walter Scott, Historical Fiction, 2004
141, The Red Badge of Courage, Erich Maria Remarque, Historical Fiction, 1929
142, Harry Potter and the Chamber of Secrets, Thomas Hardy, Non-Fiction, 2006
143, David Copperfield, George Orwell, Adventure, 1979
144, The Great Gatsby, D.H. Lawrence, Romance, 1938
145, The Adventures of Huckleberry Finn, L. Frank Baum, Classics, 1935
146, Ivanhoe, John Bunyan, Fantasy, 1957
147, Don Quixote, Johanna Spyri, Drama, 1937
148, The Count of Monte Cristo, Robert Louis Stevenson, Historical Fiction, 1968
149, Anna Karenina, Lewis Carroll, Poetry, 1907
150, The Little Prince, Miguel de Cervantes, Children's, 2003
151, Lady Chatterley's Lover, Bram Stoker, Mystery, 1985
152, Ivanhoe, Stendhal, Mystery, 1987
153, The Lion, the Witch, and the Wardrobe, Emily Brontë, Fiction, 1991
154, Fahrenheit 451, Jonathan Swift, Romance, 1935
155, The Picture of Dorian Gray, Gabriel García Márquez, Children's, 2012
156, The Stranger, L. Frank Baum, Biography, 1924
157, David Copperfield, J.D. Salinger, Thriller, 2004
158, Brave New World, John Bunyan, Adventure, 2010
159, Dracula, Oscar Wilde, Classics, 2023
160, Fahrenheit 451, Arthur Conan Doyle, Horror, 1998
161, Anne of Green Gables, James Fenimore Cooper, Mystery, 1942
162, A Tale of Two Cities, Antoine de Saint-Exupéry, Non-Fiction, 1903
163, The Three Musketeers, George Orwell, Non-Fiction, 1937
164, Alice's Adventures in Wonderland, Nathaniel Hawthorne, Fiction, 1902
165, Moby Dick, Nathaniel Hawthorne, Fiction, 1991
166, Lord of the Flies, Erich Maria Remarque, Adventure, 2008
167, Treasure Island, Emily Brontë, Mystery, 1923
168, Ivanhoe, Harriet Beecher Stowe, Poetry, 1944
169, Don Quixote, Gabriel García Márquez, Thriller, 1914
170, Uncle Tom's Cabin, Charles Dickens, Poetry, 1953
171, Moby Dick, Frances Hodgson Burnett, Adventure, 1920
172, Gone with the Wind, J.M. Barrie, Adventure, 2003
173, The Lion, the Witch, and the Wardrobe, Harper Lee, Mystery, 1904
174, The Hunchback of Notre Dame, Thomas Hardy, Classics, 2018
175, Kidnapped, Erich Maria Remarque, Historical Fiction, 1985
176, Heidi, Gustave Flaubert, Fantasy, 1985
177, Oliver Twist, Stendhal, Children's, 1927
178, Pinocchio, Aldous Huxley, Mystery, 1999
179, Crime and Punishment, Arthur Conan Doyle, Poetry, 1993
180, Frankenstein, Kenneth Grahame, Adventure, 1998
181, Heidi, Jonathan Swift, Historical Fiction, 1904
182, Lady Chatterley's Lover, Ernest Hemingway, Fiction, 1927
183, A Journey to the Center of the Earth, Albert Camus, Fiction, 1934
184, Frankenstein, Mary Shelley, Adventure, 1941
185, Tess of the d'Urbervilles, J.R.R. Tolkien, Drama, 1994
186, The Count of Monte Cristo, Jules Verne, Classics, 2023
187, The Prince and the Pauper, J.K. Rowling, Horror, 1950
188, Pride and Prejudice, Aldous Huxley, Science Fiction, 2008
189, Pinocchio, Aldous Huxley, Historical Fiction, 1979
190, Gone with the Wind, Aldous Huxley, Classics, 1902
191, The Last of the Mohicans, William Makepeace Thackeray, Biography, 1924
192, The Old Man and the Sea, Walter Scott, Classics, 1904
193, Anne of Green Gables, Aldous Huxley, Fiction, 1985
194, Anne of Green Gables, Mary Shelley, Mystery, 1972
195, Harry Potter and the Sorcerer's Stone, Jonathan Swift, Children's, 1936
196, The Return of the King, James Joyce, Horror, 1988
197, Peter Pan, James Fenimore Cooper, Non-Fiction, 2025
198, A Christmas Carol, George Orwell, Science Fiction, 1940
199, The Stranger, Kenneth Grahame, Adventure, 1993
200, Oliver Twist, J.R.R. Tolkien, Classics, 1943
201, The House of the Seven Gables, Herman Melville, Children's, 1926
202, The Old Man and the Sea, Johanna Spyri, Horror, 1946
203, A Farewell to Arms, J.M. Barrie, Mystery, 2002
204, The House of the Seven Gables, C.S. Lewis, Children's, 1930
205, The Prince and the Pauper, Ernest Hemingway, Fiction, 1958
206, Sense and Sensibility, James Fenimore Cooper, Poetry, 1916
207, Animal Farm, Johanna Spyri, Poetry, 1990
208, Gulliver's Travels, Aldous Huxley, Biography, 1995
209, The Trial, Joseph Conrad, Fiction, 1918
210, Animal Farm, Gabriel García Márquez, Non-Fiction, 1928
211, Gulliver's Travels, Gabriel García Márquez, Fiction, 1932
212, Les Misérables, Walter Scott, Non-Fiction, 1994
213, The House of the Seven Gables, William Makepeace Thackeray, Poetry, 1902
214, The Prince and the Pauper, Nathaniel Hawthorne, Horror, 1924
215, The Little Prince, Albert Camus, Historical Fiction, 1956
216, Les Misérables, Harper Lee, Classics, 1989
217, The Pilgrim's Progress, Frances Hodgson Burnett, Horror, 1913
218, Tess of the d'Urbervilles, James Joyce, Mystery, 1984
219, Ulysses, James Joyce, Fiction, 2005
220, The Last of the Mohicans, Albert Camus, Mystery, 1921
221, The Hobbit, Stendhal, Poetry, 1913
222, Frankenstein, Thomas Hardy, Drama, 2020
223, The Complete Sherlock Holmes, Oscar Wilde, Science Fiction, 2001
224, A Christmas Carol, Franz Kafka, Mystery, 1927
225, Ulysses, Charles Dickens, Poetry, 1900
226, The Trial, George Orwell, Science Fiction, 2017
227, The House of the Seven Gables, J.K. Rowling, Drama, 1964
228, The Little Prince, Walter Scott, Historical Fiction, 1969
229, Ivanhoe, James Fenimore Cooper, Fantasy, 1904
230, The Adventures of Tom Sawyer, J.D. Salinger, Children's, 1985
231, The Adventures of Tom Sawyer, Joseph Conrad, Non-Fiction, 1947
232, The Great Gatsby, Mary Shelley, Science Fiction, 1921
233, Kidnapped, Harper Lee, Drama, 1919
234, Madame Bovary, F. Scott Fitzgerald, Romance, 1926
235, The Old Man and the Sea, Miguel de Cervantes, Classics, 1986
236, Gulliver's Travels, William Golding, Mystery, 1903
237, A Journey to the Center of the Earth, Herman Melville, Romance, 1984
238, A Farewell to Arms, Joseph Conrad, Children's, 1982
239, The Last of the Mohicans, C.S. Lewis, Science Fiction, 2022
240, The Little Prince, Miguel de Cervantes, Science Fiction, 1994
241, The Return of the King, Harriet Beecher Stowe, Science Fiction, 1969
242, Harry Potter and the Sorcerer's Stone, Ray Bradbury, Horror, 1943
243, The Hobbit, C.S. Lewis, Science Fiction, 2008
244, Anna Karenina, Frances Hodgson Burnett, Fiction, 1946
245, The Red & the Black, Miguel de Cervantes, Children's, 1900
246, Lord Jim, Lewis Carroll, Horror, 1931
247, The Pilgrim's Progress, Oscar Wilde, Historical Fiction, 1975
248, The Complete Sherlock Holmes, James Fenimore Cooper, Poetry, 1909
249, The Prince and the Pauper, Charlotte Brontë, Fiction, 1973
250, Animal Farm, Jonathan Swift, Biography, 1920
251, Gone with the Wind, Antoine de Saint-Exupéry, Non-Fiction, 2011
252, The Last of the Mohicans, Harper Lee, Classics, 2000
253, A Journey to the Center of the Earth, Albert Camus, Biography, 1938
254, Lord Jim, Stephen Crane, Fiction, 1922
255, The Great Gatsby, Stephen Crane, Romance, 1954
256, Gulliver's Travels, Fyodor Dostoyevsky, Biography, 2008
257, Anne of Green Gables, Joseph Conrad, Drama, 1987
258, Black Beauty, Anna Sewell, Biography, 2022
259, Wuthering Heights, Fyodor Dostoyevsky, Children's, 1948
260, Frankenstein, Jack London, Fantasy, 1955
261, Lord of the Flies, Robert Louis Stevenson, Non-Fiction, 1975
262, Animal Farm, Robert Louis Stevenson, Drama, 2013
263, My Ántonia, Walter Scott, Thriller, 1983
264, Brave New World, L. Frank Baum, Romance, 2002
265, Little Women, Albert Camus, Thriller, 1918
266, The Adventures of Huckleberry Finn, Miguel de Cervantes, Classics, 1955
267, The Adventures of Huckleberry Finn, John Bunyan, Science Fiction, 2010
268, Animal Farm, William Makepeace Thackeray, Science Fiction, 1970
269, Gulliver's Travels, Harriet Beecher Stowe, Adventure, 1902
270, David Copperfield, F. Scott Fitzgerald, Drama, 1918
271, Lady Chatterley's Lover, Thomas Hardy, Children's, 1982
272, The Adventures of Huckleberry Finn, John Steinbeck, Mystery, 1949
273, Sense and Sensibility, Jules Verne, Historical Fiction, 1910
274, Lord Jim, J.R.R. Tolkien, Adventure, 1998
275, The Last of the Mohicans, Johanna Spyri, Historical Fiction, 1933
276, Vanity Fair, Gabriel García Márquez, Fantasy, 1923
277, Don Quixote, Antoine de Saint-Exupéry, Science Fiction, 1999
278, The Three Musketeers, Lewis Carroll, Adventure, 2007
279, Lord of the Flies, Leo Tolstoy, Romance, 1928
280, Pride and Prejudice, Victor Hugo, Drama, 1945
281, The Call of the Wild, Jane Austen, Fiction, 1913
282, The Catcher in the Rye, Aldous Huxley, Adventure, 1996
283, The Three Musketeers, Jane Austen, Historical Fiction, 1970
284, Kidnapped, J.R.R. Tolkien, Biography, 1948
285, Moby Dick, Leo Tolstoy, Classics, 1905
286, The Wizard of Oz, Arthur Conan Doyle, Mystery, 1951
287, The Great Gatsby, Jack London, Thriller, 1967
288, The Old Man and the Sea, John Steinbeck, Thriller, 1924
289, The Trial, Victor Hugo, Fiction, 1981
290, The Last of the Mohicans, Joseph Conrad, Poetry, 2014
291, Pinocchio, Emily Brontë, Children's, 2007
292, Gulliver's Travels, Herman Melville, Drama, 1921
293, The Adventures of Huckleberry Finn, Walter Scott, Thriller, 1941
294, Ulysses, Harriet Beecher Stowe, Thriller, 1934
295, To Kill a Mockingbird, Antoine de Saint-Exupéry, Science Fiction, 2010
296, The Grapes of Wrath, J.R.R. Tolkien, Fantasy, 1945
297, The Trial, Anna Sewell, Drama, 2005
298, All Quiet on the Western Front, Gabriel García Márquez, Children's, 1924
299, Harry Potter and the Chamber of Secrets, Bram Stoker, Romance, 1933
300, Wuthering Heights, Arthur Conan Doyle, Poetry, 1963
301, The Wizard of Oz, Emily Brontë, Thriller, 1984
302, The Complete Sherlock Holmes, Herman Melville, Fiction, 1958
303, The Trial, James Fenimore Cooper, Adventure, 1964
304, To Kill a Mockingbird, George Orwell, Horror, 1955
305, The Little Prince, J.M. Barrie, Fantasy, 1952
306, Animal Farm, Charles Dickens, Classics, 1910
307, The Call of the Wild, William Makepeace Thackeray, Non-Fiction, 2023
308, Crime and Punishment, Franz Kafka, Non-Fiction, 2003
309, The Secret Garden, John Steinbeck, Historical Fiction, 1960
310, The Pilgrim's Progress, Oscar Wilde, Historical Fiction, 1984
311, The Grapes of Wrath, Leo Tolstoy, Non-Fiction, 1971
312, Anna Karenina, Lewis Carroll, Non-Fiction, 1945
313, Harry Potter and the Sorcerer's Stone, Jack London, Drama, 2017
314, Lord of the Flies, Robert Louis Stevenson, Fantasy, 1923
315, The Secret Garden, Mary Shelley, Classics, 2018
316, One Hundred Years of Solitude, Thomas Hardy, Science Fiction, 1979
317, My Ántonia, J.M. Barrie, Science Fiction, 1968
318, The Grapes of Wrath, James Fenimore Cooper, Children's, 1916
319, Heidi, L.M. Montgomery, Mystery, 1994
320, Don Quixote, J.D. Salinger, Biography, 1951
321, Madame Bovary, Arthur Conan Doyle, Non-Fiction, 1943
322, Madame Bovary, Franz Kafka, Mystery, 1938
323, The Red Badge of Courage, William Makepeace Thackeray, Biography, 1931
324, 20,000 Leagues Under the Sea, Walter Scott, Mystery, 1930
325, Harry Potter and the Chamber of Secrets, James Fenimore Cooper, Classics, 2008
326, The Red Badge of Courage, John Bunyan, Classics, 1966
327, The Trial, Gabriel García Márquez, Adventure, 1943
328, Alice's Adventures in Wonderland, James Fenimore Cooper, Historical Fiction, 1984
329, The Return of the King, Jules Verne, Historical Fiction, 1969
330, Madame Bovary, Victor Hugo, Fiction, 1908
331, Ulysses, Stendhal, Non-Fiction, 2018
332, My Ántonia, L. Frank Baum, Fantasy, 1934
333, Black Beauty, Leo Tolstoy, Science Fiction, 1977
334, Animal Farm, Margaret Mitchell, Fiction, 1993
335, The Wizard of Oz, William Makepeace Thackeray, Romance, 1989
336, The Wizard of Oz, Stendhal, Poetry, 1901
337, The Adventures of Tom Sawyer, Gustave Flaubert, Historical Fiction, 1903
338, The Last of the Mohicans, Louisa May Alcott, Horror, 1958
339, Brave New World, Louisa May Alcott, Fiction, 1901
340, The House of the Seven Gables, Joseph Conrad, Historical Fiction, 1929
341, The Wind in the Willows, Frances Hodgson Burnett, Romance, 1909
342, The Wizard of Oz, C.S. Lewis, Science Fiction, 1940
343, To Kill a Mockingbird, Emily Brontë, Biography, 1959
344, Jane Eyre, L. Frank Baum, Children's, 2014
345, The Return of the King, Kenneth Grahame, Poetry, 1992
346, A Tale of Two Cities, Louisa May Alcott, Poetry, 2004
347, A Farewell to Arms, John Steinbeck, Fantasy, 1941
348, Les Misérables, William Makepeace Thackeray, Adventure, 1972
349, Frankenstein, Lewis Carroll, Biography, 1975
350, Kidnapped, William Makepeace Thackeray, Children's, 1962
351, The Old Man and the Sea, Jack London, Historical Fiction, 1934
352, Peter Pan, Joseph Conrad, Drama, 1956
353, Gone with the Wind, William Golding, Romance, 1966
354, The Wizard of Oz, Mary Shelley, Mystery, 1904
355, Little Women, Charles Dickens, Biography, 1931
356, The Hobbit, Jack London, Children's, 1976
357, A Farewell to Arms, William Golding, Drama, 1944
358, Peter Pan, Antoine de Saint-Exupéry, Classics, 1965
359, The Wizard of Oz, L. Frank Baum, Historical Fiction, 1933
360, Brave New World, Nathaniel Hawthorne, Science Fiction, 1990
361, Kidnapped, James Joyce, Poetry, 1917
362, The Last of the Mohicans, J.M. Barrie, Mystery, 1980
363, Wuthering Heights, Frances Hodgson Burnett, Children's, 1917
364, Great Expectations, Jules Verne, Romance, 1915
365, Anna Karenina, Gustave Flaubert, Horror, 1999
366, Little Women, Charlotte Brontë, Fantasy, 1972
367, Lord of the Flies, Louisa May Alcott, Children's, 1921
368, The Hobbit, F. Scott Fitzgerald, Horror, 1912
369, The Red Badge of Courage, Jane Austen, Science Fiction, 1975
370, Oliver Twist, Lewis Carroll, Biography, 1978
371, The Pilgrim's Progress, Louisa May Alcott, Horror, 1905
372, A Journey to the Center of the Earth, John Steinbeck, Fiction, 1993
373, The Red Badge of Courage, Harper Lee, Drama, 1951
374, Brave New World, Oscar Wilde, Fiction, 1963
375, Harry Potter and the Chamber of Secrets, Joseph Conrad, Horror, 1967
376, The Adventures of Huckleberry Finn, Joseph Conrad, Fiction, 1936
377, Great Expectations, Johanna Spyri, Horror, 1999
378, The Lion, the Witch, and the Wardrobe, Ray Bradbury, Horror, 1973
379, Gulliver's Travels, Joseph Conrad, Mystery, 1902
380, Alice's Adventures in Wonderland, Thomas Hardy, Drama, 1973
381, The Count of Monte Cristo, Mark Twain, Science Fiction, 1990
382, The Wizard of Oz, John Steinbeck, Horror, 1948
383, Gulliver's Travels, D.H. Lawrence, Science Fiction, 1973
384, Uncle Tom's Cabin, Gustave Flaubert, Historical Fiction, 1989
385, Harry Potter and the Chamber of Secrets, Miguel de Cervantes, Biography, 1960
386, The Hobbit, Nathaniel Hawthorne, Science Fiction, 1955
387, Harry Potter and the Sorcerer's Stone, Stendhal, Mystery, 1902
388, Brave New World, Margaret Mitchell, Biography, 1990
389, A Portrait of the Artist as a Young Man, Jules Verne, Children's, 1923
390, The Stranger, Miguel de Cervantes, Historical Fiction, 1918
391, The Secret Garden, Margaret Mitchell, Adventure, 1981
392, The Adventures of Huckleberry Finn, Erich Maria Remarque, Non-Fiction, 1935
393, The Picture of Dorian Gray, D.H. Lawrence, Biography, 1905
394, The Complete Sherlock Holmes, Miguel de Cervantes, Fantasy, 2016
395, Great Expectations, Ray Bradbury, Drama, 2005
396, Lord Jim, Antoine de Saint-Exupéry, Mystery, 1910
397, The Last of the Mohicans, John Bunyan, Horror, 2022
398, Little Women, C.S. Lewis, Poetry, 1926
399, Gone with the Wind, Harper Lee, Romance, 2008
400, Harry Potter and the Chamber of Secrets, C.S. Lewis, Historical Fiction, 2019
401, Peter Pan, Harper Lee, Poetry, 1947
402, The Scarlet Letter, John Bunyan, Science Fiction, 2010
403, Harry Potter and the Sorcerer's Stone, John Bunyan, Historical Fiction, 2013
404, Jane Eyre, Charlotte Brontë, Science Fiction, 2018
405, The Complete Sherlock Holmes, L. Frank Baum, Thriller, 1909
406, Les Misérables, Lewis Carroll, Historical Fiction, 1920
407, A Christmas Carol, Ray Bradbury, Mystery, 1929
408, Frankenstein, Bram Stoker, Classics, 1923
409, The House of the Seven Gables, J.D. Salinger, Thriller, 1946
410, The Hobbit, Leo Tolstoy, Poetry, 1949
411, The Stranger, Frances Hodgson Burnett, Poetry, 1929
412, My Ántonia, Johanna Spyri, Romance, 2005
413, All Quiet on the Western Front, Jack London, Thriller, 2006
414, To Kill a Mockingbird, Jonathan Swift, Historical Fiction, 1973
415, The Great Gatsby, J.K. Rowling, Historical Fiction, 2014
416, The Great Gatsby, Fyodor Dostoyevsky, Horror, 1939
417, The Last of the Mohicans, William Golding, Romance, 1956
418, The Scarlet Letter, L.M. Montgomery, Classics, 1969
419, Harry Potter and the Chamber of Secrets, Harper Lee, Drama, 1906
420, The House of the Seven Gables, William Golding, Thriller, 1930
421, The Count of Monte Cristo, George Orwell, Adventure, 1912
422, Les Misérables, J.K. Rowling, Drama, 1953
423, 20,000 Leagues Under the Sea, James Fenimore Cooper, Classics, 1985
424, Ivanhoe, Robert Louis Stevenson, Non-Fiction, 1925
425, My Ántonia, Ray Bradbury, Children's, 1970
426, David Copperfield, Harriet Beecher Stowe, Science Fiction, 1965
427, Wuthering Heights, Gabriel García Márquez, Romance, 1961
428, Harry Potter and the Sorcerer's Stone, C.S. Lewis, Romance, 1967
429, The Hunchback of Notre Dame, Bram Stoker, Biography, 2000
430, Oliver Twist, Anna Sewell, Fiction, 1960
431, The Complete Sherlock Holmes, Robert Louis Stevenson, Fantasy, 1973
432, Vanity Fair, Anna Sewell, Biography, 1917
433, Kidnapped, Jane Austen, Non-Fiction, 1926
434, The Great Gatsby, Jane Austen, Poetry, 2023
435, Brave New World, Aldous Huxley, Horror, 1957
436, A Portrait of the Artist as a Young Man, L.M. Montgomery, Thriller, 2005
437, Kidnapped, F. Scott Fitzgerald, Fiction, 1973
438, The Old Man and the Sea, Leo Tolstoy, Poetry, 1912
439, Les Misérables, J.D. Salinger, Historical Fiction, 1914
440, Treasure Island, Alexandre Dumas, Fiction, 1943
441, Frankenstein, Nathaniel Hawthorne, Fiction, 2006
442, Gone with the Wind, Herman Melville, Historical Fiction, 1953
443, Peter Pan, Mary Shelley, Fiction, 1980
444, Alice's Adventures in Wonderland, James Fenimore Cooper, Fantasy, 2025
445, The Wind in the Willows, Gabriel García Márquez, Fantasy, 2004
446, Tess of the d'Urbervilles, Aldous Huxley, Historical Fiction, 2004
447, Great Expectations, J.D. Salinger, Fiction, 1957
448, Gone with the Wind, Albert Camus, Horror, 1919
449, The Lion, the Witch, and the Wardrobe, Frances Hodgson Burnett, Fiction, 1917
450, 20,000 Leagues Under the Sea, William Makepeace Thackeray, Thriller, 1902
451, Vanity Fair, Johanna Spyri, Romance, 1942
452, Ulysses, Erich Maria Remarque, Fantasy, 2010
453, Don Quixote, Jane Austen, Romance, 1961
454, The Hunchback of Notre Dame, John Bunyan, Non-Fiction, 1950
455, The Red & the Black, Nathaniel Hawthorne, Biography, 1929
456, A Portrait of the Artist as a Young Man, Anna Sewell, Drama, 1986
457, Black Beauty, Franz Kafka, Romance, 2024
458, To Kill a Mockingbird, J.M. Barrie, Horror, 1900
459, Frankenstein, Mary Shelley, Mystery, 2013
460, Tess of the d'Urbervilles, John Bunyan, Non-Fiction, 2022
